Character,Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
155,Creighton Longbough,None,,,,4.0,1,0,0,0,0,1,0
362,Howd Wanderer,Wildling,,,,58.0,1,1,0,0,0,0,1
868,Watt,Night's Watch,299.0,3.0,75.0,69.0,1,0,0,0,1,0,0
101,Borcas,Night's Watch,,,,48.0,1,0,1,0,0,0,0
199,Donnis,House Stark,,,,7.0,1,0,1,0,0,0,0
416,Jory Cassel,Stark,298.0,1.0,35.0,1.0,1,1,1,0,0,0,0
359,Hoster Tully,House Tully,299.0,3.0,35.0,71.0,1,1,1,1,1,0,0
311,Guyard Morrigen,Baratheon,299.0,2.0,62.0,22.0,1,1,0,1,0,0,0
580,Mycah,Stark,298.0,1.0,16.0,15.0,1,0,1,0,0,0,0
707,Robin Ryger,Tully,,,,7.0,1,1,0,1,1,1,0
757,Shireen Baratheon,Baratheon,,,,0.0,0,1,0,1,1,0,1
804,Three Toes,None,,,,44.0,1,0,0,0,1,0,0
396,Jeyne Poole,Stark,,,,7.0,0,1,1,0,1,0,1
2,Aegon Targaryen,House Targaryen,,,,5.0,1,1,0,0,0,0,1
529,Matthar,Night's Watch,,,,41.0,1,0,1,0,0,0,0
518,Maron Volmark,Greyjoy,,,,18.0,1,1,0,0,0,1,0
351,Hod,None,,,,5.0,1,0,0,1,0,0,0
275,Gerald Gower,Baratheon,,,,54.0,1,1,0,0,1,0,0
158,Cutjack,None,,,,5.0,1,0,0,1,0,0,0
528,Matthos Seaworth,Baratheon,299.0,2.0,58.0,10.0,1,1,0,1,0,0,0
853,Vargo Hoat,None,300.0,3.0,20.0,30.0,1,0,0,1,1,0,0
575,Murch (Winterfell),House Stark,,,,50.0,1,0,0,1,0,0,0
342,Harwood Stout,Stark,,,,32.0,1,1,0,0,0,0,1
766,Spare Boot,Night's Watch,,,,55.0,1,0,0,0,1,0,0
854,Varys,Targaryen,,,,25.0,1,0,1,1,1,0,1
456,Leathers,Night's Watch,,,,35.0,1,0,0,0,0,0,1
533,Meera Reed,Stark,,,,21.0,0,1,0,1,1,0,1
615,Ossy,Arryn,,,,41.0,1,0,0,0,0,1,0
367,Humfrey Swyft,Lannister,,,,16.0,1,1,0,0,0,1,0
370,Iggo,None,299.0,3.0,3.0,3.0,1,0,0,0,1,0,0
486,Luke of Longtown,Night's Watch,,,,35.0,1,0,0,0,0,0,1
665,Quentyn Martell,Martell,300.0,5.0,70.0,6.0,1,1,0,0,0,0,1
669,Qyle,Night's Watch,299.0,2.0,2.0,2.0,1,0,0,1,0,0,0
212,Dykk Harlaw,Greyjoy,299.0,2.0,66.0,66.0,1,0,0,1,0,0,0
79,Belwas,House Targaryen,,,,63.0,1,0,0,1,1,0,1
148,Conwy,Night's Watch,,,,6.0,1,0,0,1,0,0,0
500,Maerie (Goodwife),None,299.0,3.0,34.0,34.0,0,0,0,0,1,0,0
710,Rodrik Ryswell,None,,,,32.0,1,1,0,0,0,0,1
631,Paxter Redwyne,Tyrell,,,,65.0,1,1,0,1,1,1,0
394,Jeor Mormont,Night's Watch,299.0,3.0,33.0,48.0,1,1,1,1,1,0,0
594,Nurse,None,300.0,5.0,57.0,57.0,1,0,0,0,0,0,1
133,Chella,Lannister,,,,56.0,0,0,1,1,1,0,0
812,Tobho Mott,None,,,,27.0,1,0,1,0,1,0,0
734,Rupert Brax,House Lannister,299.0,2.0,32.0,32.0,1,0,0,1,0,0,0
360,Hot Pie,None,,,,1.0,1,0,0,1,1,0,0
874,Weese,Lannister,299.0,2.0,38.0,26.0,1,0,0,1,0,0,0
712,Roger Ryswell,Stark,,,,20.0,1,1,0,0,0,0,1
477,Lorent Caswell,Baratheon,,,,22.0,1,1,0,1,0,0,0
409,Jon Snow,Night's Watch,,,,1.0,1,1,1,1,1,1,1
448,Lady of the Leaves,None,,,,22.0,0,0,0,0,1,0,0
837,Tytos Frey,None,299.0,3.0,,,1,1,0,0,1,0,0
306,Groleo,House Targaryen,300.0,5.0,59.0,,1,0,0,0,1,0,1
172,Danwell Frey,None,,,,59.0,1,1,1,1,1,1,0
873,Weeper,Wildling,,,,7.0,1,1,0,0,1,0,0
327,Halys Hornwood,Stark,298.0,1.0,62.0,53.0,1,1,1,0,0,0,0
487,Luton,None,300.0,5.0,51.0,37.0,1,0,0,0,0,0,1
824,Triston Sunderland,Lannister,,,,9.0,1,1,0,0,0,0,1
90,Beth Cassel,Stark,,,,7.0,0,1,1,1,0,0,0
858,Vylarr,House Lannister,,,,3.0,1,0,0,1,0,0,0
181,Dermot,Baratheon,,,,65.0,1,0,0,1,0,1,0
892,Wun Weg Wun Dar Wun,Wildling,,,,35.0,1,0,0,0,0,0,1
817,Tormund,Wildling,,,,7.0,1,1,0,0,1,0,1
69,Bass,Night's Watch,,,,52.0,1,0,1,0,0,0,0
291,Goghor,None,,,,52.0,1,0,0,0,0,0,1
131,Chataya,None,,,,15.0,0,0,0,1,0,0,0
903,Yellow Dick,None,300.0,5.0,46.0,12.0,1,0,0,0,0,0,1
494,Lyonel,None,,,,38.0,1,0,0,1,0,0,0
135,Chiggen,Lannister,298.0,1.0,42.0,31.0,1,0,1,0,0,0,0
164,Dagmer,House Greyjoy,,,,11.0,1,0,0,1,0,0,0
28,Alys Karstark,Stark,,,,44.0,0,1,0,0,0,0,1
